Parcelamento
"30/60 DD acima de R$ 600,00"
"30/60/90 DD acima de R$ 900,00"
"30/60/90/120 DD acima de R$ 1.200,00"
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
01021 - 001,Nac.,VEDA LUZ DUPLA FACE,"28,69",SC,"1,40",MET,290,56031490,C 09 2022,
01026,Nac.,FORRO MALHA,"33,04",,"3,00",MET,230,60053700,C 11 2026 GENTILE,
01027,Imp.,VOIL CREPE,"30,60",,"3,00",MET,290,54076100,C 11 2026 GENTILE,
01031,Imp.,VOIL SUIÇO,"30,60",,"3,00",MET,290,54076900,C 11 2026 GENTILE,
01051 - 001,Nac.,FLAME RECIFE,"16,31",SC,"3,00",MET,250,54076100,C 10,
01079,Nac.,TERGAL VERÃO,"41,30",,"3,00",MET,328,54075210,C 11 2026 GENTILE,
01080,Nac.,VOIL LISO,"27,87",,"3,00",MET,140,54076100,C 11 2026 GENTILE,
01083 - 001,Nac.,GORGURINHO,"49,34",SC,"2,90",MET,510,52103100,C 09 2022,
01089 - 001,Nac.,SARJA PELETIZADA,"87,81",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 002,Nac.,SARJA PELETIZADA,"80,18",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 003,Nac.,SARJA PELETIZADA,"69,88",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 004,Nac.,SARJA PELETIZADA,"90,35",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 005,Nac.,SARJA PELETIZADA,"90,35",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 010,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 011,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 013,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 014,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 015,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 016,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 017,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 022,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 039,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 040,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 041,Nac.,SARJA PELETIZADA,"87,75",SC,"1,60",MET,480,52092200,S 06,PELETIZADO
01089 - 057,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 058,Nac.,SARJA PELETIZADA,"95,56",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 066,Nac.,SARJA PELETIZADA,"98,95",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 067,Nac.,SARJA PELETIZADA,"98,95",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 068,Nac.,SARJA PELETIZADA,"98,95",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 069,Nac.,SARJA PELETIZADA,"98,95",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 070,Nac.,SARJA PELETIZADA,"98,95",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 071,Nac.,SARJA PELETIZADA,"98,95",,"1,60",MET,480,52092200,S 07,PELETIZADO
01089 - 072,Nac.,SARJA PELETIZADA,"98,95",,"1,60",MET,480,52092200,S 07,PELETIZADO
01248,Nac.,LINHO MISTO,"86,91",,"1,40",MET,360,52122400,S 07,REPELENTE A LIQUIDOS
01276 - 001,Nac.,LINHO MISTO,"163,09",SC,"2,90",MET,400,55159990,C 10,
01276 - 002,Nac.,LINHO MISTO,"163,09",SC,"2,90",MET,400,55159990,C 10,
01276 - 003,Nac.,LINHO MISTO,"163,09",SC,"2,90",MET,400,55159990,C 10,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
01276 - 005,Nac.,LINHO MISTO,"163,09",SC,"2,90",MET,400,55159990,C 10,
01279 - 001,Nac.,SAARA,"16,31",SC,"2,80",MET,280,54079300,C 08,
01309 - 001,Nac.,CREPE LINHO,"45,38",SC,"3,00",MET,370,54079200,C 09 2024,
01332 - 003,Nac.,DUBLIN,"20,96",SC,"2,90",MET,200,54076900,C 10,
01385 - 003,Nac.,RUSTICO,"24,22",SC,"2,90",MET,550,52101990,C 09 2021,
01439 - 001,Nac.,COSTA DO MARFIIM,"20,96",SC,"2,90",MET,250,54075100,C 10,
01442 - 001,Nac.,CORTINA FLAME,"24,22",SC,"3,00",MET,400,54075210,C 10,
01499 - 001,Nac.,CORTINA RUSTICA,"25,85",SC,"2,90",MET,284,54076900,C 03 2016,
01499 - 002,Nac.,CORTINA RUSTICA,"25,85",SC,"2,90",MET,284,54076900,C 03 2018,
01499 - 003,Nac.,CORTINA RUSTICA,"25,85",SC,"2,90",MET,284,54076900,C 03 2018,
01507 - 002,Nac.,CORTINA  LAVINIA,"25,85",SC,"2,90",MET,300,54079300,C 10,
01542 - 003,Imp.,COURO ECO MEDITERRANEO,"29,76",SC,"1,40",MET,500,60053900,T 20,
01544,Imp.,LINHO MISTO,"155,78",,"1,40",MET,630,55169300,T 32 SLIM,
01552 - 002,Imp.,ECO PELE,"31,39",SC,"1,30",MET,250,60053900,T 20,
01620 - 020,Nac.,LISO FLAME,"16,31",SC,"1,37",MET,308,55162300,T 16,
01665,Nac.,GAZE POLI,"49,46",,"3,00",MET,390,54076900,C 11 2026 GENTILE,
01676 - 004,Imp.,RUSTICO UDINESE,"59,20",SC,"1,39",MET,820,54079200,T 20,
01705,Imp.,GAZE LENNO BRISA,"404,62",,"3,16",MET,620,55151900,C 08,
01706,Imp.,LINHO LENNO,"364,17",,"3,16",MET,620,55121100,C 08,
01707,Imp.,GAZE LENNO,"364,17",,"3,16",MET,620,55121900,C 08,
01710 - 002,Nac.,VOIL NEVADO,"44,89",SC,"3,00",MET,276,54075210,C 09 2022,
01712 - 001,Nac.,VOIL SANTIAGO,"44,89",SC,"3,00",MET,194,54075210,C 09 2022,
01714 - 001,Nac.,RUSTICO RAJADO,"30,25",SC,"3,00",MET,361,54075210,C 10,
01714 - 002,Nac.,RUSTICO RAJADO,"30,25",SC,"3,00",MET,361,54075210,C 10,
01714 - 003,Nac.,RUSTICO RAJADO,"30,25",SC,"3,00",MET,361,54075210,C 10,
01716 - 001,Nac.,GAZE LISTRADA,"25,85",SC,"2,90",MET,362,53092100,C 08,
01717 - 002,Nac.,TELA RUSTICA,"22,59",SC,"3,00",MET,220,54075210,,
01725 - 001,Imp.,VOIL LISTADO BOTONE,"26,74",SC,"3,00",MET,186,54076100,C 09 2021,
01728,Imp.,TELA LINHO,"56,74",,"3,00",MET,250,54076100,C 11 2026 GENTILE,
01733,Imp.,TELA LINHO PESADO,"56,26",,"3,00",MET,537,55121900,C 11 2026 GENTILE,
01734,Imp.,BLACK OUT 70%,"45,90",,"2,80",MET,650,54075300,1734 HANGER BK 70%,
01735,Imp.,MICROFIBRA SOFT,"16,94",,"3,00",MET,210,54075400,C 11 2026 GENTILE,
01752 - 002,Imp.,RUSTIC POLI II,"16,31",SC,"2,80",MET,710,54077200,C 08,
01758,Nac.,GABARDINE,"48,03",,"3,00",MET,350,55151200,C 11 2026 GENTILE,
01769 - 002,Nac.,LINHO LARA,"29,11",SC,"2,90",MET,320,55159990,C 08,
01771 - 001,Nac.,LINHO SOFT,"173,34",SC,"3,00",MET,300,55159990,C 10,
01771 - 003,Nac.,LINHO SOFT,"173,34",SC,"3,00",MET,300,55159990,C 10,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
01797 - 011,Imp.,TRAMA DI CAVALNTE,"62,96",SC,"1,40",MET,448,54075210,T 32 SLIM,
01840,Nac.,ACQUATEC,"61,00",,"1,40",MET,280,52113100,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
01841,Nac.,ACQUA BLOCK,"70,07",,"1,40",MET,280,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
01850,Nac.,ACQUA BLOCK,"70,07",,"1,40",MET,280,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
01904 - 001,Nac.,VOIL TRAPANI,"29,44",SC,"3,00",MET,300,54077300,C 10,
01904 - 002,Nac.,VOIL TRAPANI,"29,44",SC,"3,00",MET,300,54077300,C 10,
01904 - 003,Nac.,VOIL TRAPANI,"29,44",SC,"3,00",MET,300,54077300,C 10,
01905 - 002,Imp.,VOIL BESS SUPER MARFIM,"31,28",SC,"3,00",MET,200,54076100,C 09 2024,
01945 - 001,Imp.,RUSTICO MESSINA,"31,07",SC,"1,40",MET,325,54078300,T 20,
01945 - 002,Imp.,RUSTICO MESSINA,"31,07",SC,"1,40",MET,325,54078300,T 20,
01946,Nac.,TECIDO TINTO,"64,80",,"1,40",MET,380,52081200,S 07,REPELENTE A LIQUIDOS
01989,Imp.,GAZE GEORGIA,"122,35",,"3,00",MET,400,54079100,C 11 2026 GENTILE,
01989 - 001,Imp.,GAZE GEORGIA,"122,35",SC,"3,00",MET,400,54079100,C 09 2021,
01989 - 004,Imp.,GAZE GEORGIA,"122,35",SC,"3,00",MET,400,54079100,C 09 2022,
01995 - 003,Nac.,GAZE LINHO BELGA,"178,16",SC,"2,90",MET,350,53091900,C 10,
02010 - 001,Nac.,LISTADO TOULON,"16,31",SC,"2,90",MET,702,54079300,C 03 2018,
02013 - 001,Nac.,CORTINARIA ISTAMBUL,"38,77",SC,"2,90",MET,980,55162300,C 08,
02014 - 001,Nac.,CORTINARIA MOSCOU,"25,85",SC,"2,90",MET,816,55162300,C 08,
02015 - 001,Nac.,CORTINARIA LONDRES,"38,77",SC,"2,90",MET,611,55162300,C 08,
02019 - 001,Nac.,CORTINARIA LISBOA,"25,03",SC,"2,90",MET,996,54076900,C 08,
02022 - 001,Nac.,CORTINARIA MINSK,"38,77",SC,"2,90",MET,996,54076900,C 08,
02024 - 001,Nac.,CORTINARIA BUDAPESTE,"25,85",SC,"2,90",MET,864,54076900,C 08,
02025 - 001,Nac.,CORTINARIA VIENA,"25,85",SC,"2,90",MET,295,54076900,C 08,
02028 - 001,Nac.,CORTINARIA BARCELONA,"38,77",SC,"2,90",MET,999,54079300,C 10,
